epoch,step,train_dis_loss,train_tgt_loss,val_src_acc,val_src_class_loss,val_tgt_acc,val_tgt_class_loss
40,983,1.3657320737838745,0.6285857558250427,,,,
41,1007,,,0.36903294920921326,1.4379148483276367,0.21867956221103668,1.436125636100769
41,1007,1.3730626106262207,0.6267496347427368,,,,
42,1031,,,0.36428388953208923,1.4412434101104736,0.22532930970191956,1.444661021232605
42,1031,1.3744145631790161,0.637132465839386,,,,
43,1055,,,0.35875988006591797,1.4484972953796387,0.20744921267032623,1.4487208127975464
43,1055,1.3561820983886719,0.6352179050445557,,,,
44,1079,,,0.3776589035987854,1.4365822076797485,0.22212649881839752,1.4414558410644531
44,1079,1.3840646743774414,0.6362361311912537,,,,
45,1103,,,0.3682059347629547,1.4364203214645386,0.22415989637374878,1.4383981227874756
45,1103,1.389406681060791,0.6375301480293274,,,,
