epoch,step,train_acc,train_class_loss,train_total_loss,val_src_acc,val_src_class_loss,val_tgt_acc,val_tgt_class_loss
18,455,,,,0.5665727257728577,1.185135006904602,0.6946064829826355,1.1196247339248657
18,455,0.5955571532249451,1.2114545106887817,1.2353852987289429,,,,
19,479,,,,0.5765702724456787,1.1720987558364868,0.6914247870445251,1.0915553569793701
19,479,0.6106078028678894,1.1870695352554321,1.211330533027649,,,,
20,503,,,,0.6094486713409424,1.1167285442352295,0.7017155289649963,1.0606330633163452
20,503,0.6192998886108398,1.1543030738830566,1.1787266731262207,,,,
21,527,,,,0.6130698323249817,1.0746569633483887,0.690342903137207,1.0111054182052612
21,527,0.6269609332084656,1.106981635093689,1.1317474842071533,,,,
22,551,,,,0.6596832275390625,1.0372350215911865,0.7360044717788696,0.9846468567848206
22,551,0.6429523825645447,1.086463451385498,1.1118520498275757,,,,
23,575,,,,0.6774653196334839,0.9818961024284363,0.7383921146392822,0.929523229598999
23,575,0.6537154316902161,1.0450338125228882,1.0709835290908813,,,,
24,599,,,,0.7511573433876038,0.9327178597450256,0.7739176750183105,0.882620632648468
24,599,0.6635131239891052,1.0115965604782104,1.0382614135742188,,,,
25,623,,,,0.7611682415008545,0.9025052189826965,0.8120226263999939,0.8551082611083984
25,623,0.6891539096832275,0.9623356461524963,0.9898940920829773,,,,
26,647,,,,0.7634762525558472,0.865129828453064,0.8234482407569885,0.7985800504684448
26,647,0.6879773139953613,0.9332020282745361,0.9615852236747742,,,,
27,671,,,,0.7401708364486694,0.8251492977142334,0.8305407166481018,0.7672309875488281
27,671,0.683885395526886,0.9094774127006531,0.9391337037086487,,,,
28,695,,,,0.7271769642829895,0.8017775416374207,0.8369725942611694,0.7605560421943665
28,695,0.70000821352005,0.8848034739494324,0.9148786067962646,,,,
29,719,,,,0.7292881608009338,0.7769549489021301,0.823604941368103,0.7162589430809021
29,719,0.6807620525360107,0.8572983741760254,0.8888211846351624,,,,
30,743,,,,0.725347638130188,0.7689167857170105,0.834420919418335,0.7037538290023804
30,743,0.7005929350852966,0.8717985153198242,0.9035620093345642,,,,
31,767,,,,0.7308703064918518,0.7554572820663452,0.8443461060523987,0.7076089382171631
31,767,0.6951193809509277,0.8435027599334717,0.8762461543083191,,,,
32,791,,,,0.7317644357681274,0.7370176911354065,0.8538559675216675,0.6913912892341614
32,791,0.7088287472724915,0.8271570205688477,0.8603268265724182,,,,
33,815,,,,0.7174379825592041,0.7253400087356567,0.8313850164413452,0.6696872711181641
33,815,0.7034479975700378,0.8024693131446838,0.8365302681922913,,,,
34,839,,,,0.7135016322135925,0.7189616560935974,0.8590134978294373,0.6701257228851318
34,839,0.7054252028465271,0.7947957515716553,0.8289591670036316,,,,
35,863,,,,0.7153589129447937,0.7139912247657776,0.8200981020927429,0.6879158616065979
35,863,0.6984586715698242,0.804390013217926,0.8387405872344971,,,,
36,887,,,,0.7279849052429199,0.7039334177970886,0.8317844867706299,0.6678150296211243
36,887,0.6890130043029785,0.8084084391593933,0.843187153339386,,,,
37,911,,,,0.7612049579620361,0.6982200741767883,0.8530956506729126,0.6549279093742371
37,911,0.6900426745414734,0.8153490424156189,0.850005567073822,,,,
38,935,,,,0.7709112763404846,0.6942257881164551,0.8485649228096008,0.6662160754203796
38,935,0.682962954044342,0.796842098236084,0.8320884704589844,,,,
39,959,,,,0.7560653686523438,0.6913173198699951,0.840540885925293,0.6648263335227966
39,959,0.6894455552101135,0.7883209586143494,0.8229373097419739,,,,
40,983,,,,0.781389594078064,0.6830399632453918,0.8423171043395996,0.6627184152603149
